emp_no,first_name,last_name,title,from_date,to_date
101523,Vishv,Quadeer,Technique Leader,3/10/1991,1/1/9999
101530,Sushant,Debuse,Technique Leader,12/21/1998,1/1/9999
101537,Luigi,Cyre,Senior Engineer,9/28/1985,1/1/9999
101558,Wojceich,Tischendorf,Senior Engineer,2/24/1985,1/1/9999
101559,Rasiah,Kisuki,Engineer,8/11/1986,8/11/1993
101559,Rasiah,Kisuki,Senior Engineer,8/11/1993,1/1/9999
101580,Lein,Bernardinello,Senior Staff,1/4/2000,1/1/9999
101580,Lein,Bernardinello,Staff,1/4/1995,1/4/2000
101587,Hironobu,Puppo,Senior Staff,2/27/1996,1/1/9999
101587,Hironobu,Puppo,Staff,2/27/1990,2/27/1996
101588,Manu,Weedon,Engineer,3/24/1986,3/23/1992
101588,Manu,Weedon,Senior Engineer,3/23/1992,1/1/9999
101608,Girolamo,Mundy,Senior Staff,8/31/1998,1/1/9999
101608,Girolamo,Mundy,Staff,8/31/1989,8/31/1998
101617,Serge,Maquelin,Senior Staff,6/20/1995,1/1/9999
101617,Serge,Maquelin,Staff,6/20/1990,6/20/1995
101626,Moheb,Vrecion,Senior Staff,11/28/1994,1/1/9999
101626,Moheb,Vrecion,Staff,11/28/1985,11/28/1994
101637,Subir,Azuma,Staff,3/30/1995,1/1/9999
101638,Gaurav,Conta,Engineer,7/7/1996,1/1/9999
101651,Trygve,Templeman,Engineer,2/17/1988,2/17/1996
101651,Trygve,Templeman,Senior Engineer,2/17/1996,1/1/9999
101656,Yaghout,Kornyak,Senior Staff,11/15/1991,1/1/9999
101657,Krisda,Herath,Senior Staff,7/13/2000,1/1/9999
101657,Krisda,Herath,Staff,7/14/1995,7/13/2000
101681,Goh,Fasbender,Engineer,3/6/1988,3/6/1994
101681,Goh,Fasbender,Senior Engineer,3/6/1994,1/1/9999
101688,Bilhanan,Worfolk,Engineer,4/16/1998,1/1/9999
101690,Dante,Lally,Senior Staff,3/26/1995,1/1/9999
101690,Dante,Lally,Staff,3/25/1988,3/26/1995
101713,Weiye,Erev,Senior Staff,7/16/1998,1/1/9999
101719,Nadjib,Wolniewicz,Engineer,6/3/1986,6/3/1993
101719,Nadjib,Wolniewicz,Senior Engineer,6/3/1993,1/1/9999
101721,Hidefumi,Cooke,Engineer,8/10/1985,8/10/1990
101721,Hidefumi,Cooke,Senior Engineer,8/10/1990,1/1/9999
101742,Tetsushi,Sessa,Senior Staff,9/27/1991,1/1/9999
101774,Heekeun,Baba,Senior Engineer,5/26/1985,1/1/9999
101775,Tuval,Liedekerke,Engineer,1/4/1999,1/1/9999
101778,Aamer,Peha,Engineer,9/13/1991,9/12/2000
101778,Aamer,Peha,Senior Engineer,9/12/2000,1/1/9999
101787,Shunichi,Muhling,Engineer,7/28/1988,7/28/1993
101787,Shunichi,Muhling,Senior Engineer,7/28/1993,1/1/9999
101800,Arlette,Iwayama,Engineer,1/17/1997,1/1/9999
101808,Atreye,Hedayat,Technique Leader,11/18/1987,1/1/9999
101813,Shai,Turnbull,Senior Engineer,12/24/1987,1/1/9999
101816,Hongzhu,Claffy,Senior Staff,3/4/1995,1/1/9999
101816,Hongzhu,Claffy,Staff,3/4/1987,3/4/1995
101833,Cordelia,Couchot,Senior Staff,7/27/1997,1/1/9999
101833,Cordelia,Couchot,Staff,7/27/1988,7/27/1997
101845,Giordano,Pouyioutas,Senior Staff,7/19/2002,1/1/9999
101845,Giordano,Pouyioutas,Staff,7/19/1994,7/19/2002
101848,Jouko,Kolinko,Senior Staff,6/19/1997,1/1/9999
101848,Jouko,Kolinko,Staff,6/20/1991,6/19/1997
101855,Sven,Majewski,Senior Staff,10/18/1998,1/1/9999
101855,Sven,Majewski,Staff,10/18/1991,10/18/1998
101858,Katsuyuki,Nourani,Senior Staff,4/5/1994,1/1/9999
101858,Katsuyuki,Nourani,Staff,4/5/1987,4/5/1994
101869,Zhanqiu,Siprelle,Senior Staff,12/26/1995,1/1/9999
101869,Zhanqiu,Siprelle,Staff,12/26/1986,12/26/1995
101878,Tetsushi,Stroustrup,Senior Staff,1/16/1998,1/1/9999
101878,Tetsushi,Stroustrup,Staff,1/16/1991,1/16/1998
101887,Zhonghua,McAlpine,Engineer,9/5/1987,9/5/1995
101887,Zhonghua,McAlpine,Senior Engineer,9/5/1995,1/1/9999
101888,Eran,Ritcey,Engineer,8/19/1996,1/1/9999
101898,Mang,Schwartzbauer,Engineer,3/1/1995,3/1/2002
101898,Mang,Schwartzbauer,Senior Engineer,3/1/2002,1/1/9999
101907,Jianhao,England,Staff,8/19/1999,1/1/9999
101915,Mayuri,Chenoweth,Engineer,4/26/1987,4/26/1995
101915,Mayuri,Chenoweth,Senior Engineer,4/26/1995,1/1/9999
101919,Mantis,Schahn,Senior Staff,8/5/1999,1/1/9999
101919,Mantis,Schahn,Staff,8/5/1991,8/5/1999
101928,Avishai,Baezner,Engineer,3/30/1998,1/1/9999
101932,Christophe,Hashii,Engineer,9/20/1987,9/19/1996
101932,Christophe,Hashii,Senior Engineer,9/19/1996,1/1/9999
101934,Roselyn,Rosin,Senior Staff,2/16/1993,1/1/9999
101934,Roselyn,Rosin,Staff,2/16/1986,2/16/1993
101949,Foong,Pettis,Engineer,5/12/1986,5/12/1993
101949,Foong,Pettis,Senior Engineer,5/12/1993,1/1/9999
101973,Yucel,Kilgore,Senior Staff,2/23/1996,1/1/9999
101973,Yucel,Kilgore,Staff,2/23/1988,2/23/1996
101989,JiYoung,Plavsic,Engineer,2/20/1985,2/20/1991
101989,JiYoung,Plavsic,Senior Engineer,2/20/1991,1/1/9999
101993,Manohar,Perez,Senior Staff,3/5/1993,1/1/9999
101993,Manohar,Perez,Staff,3/5/1986,3/5/1993
102011,Genevieve,Lund,Engineer,11/13/1995,11/12/2001
102011,Genevieve,Lund,Senior Engineer,11/12/2001,1/1/9999
102019,Mohammad,Ullian,Senior Staff,6/5/1992,1/1/9999
102019,Mohammad,Ullian,Staff,6/6/1987,6/5/1992
102027,Gladys,Isaak,Engineer,2/20/1987,2/20/1996
102027,Gladys,Isaak,Senior Engineer,2/20/1996,1/1/9999
102028,Yunming,Thiran,Senior Engineer,10/27/1988,1/1/9999
102045,Chandrasekaran,Berstel,Engineer,7/21/1998,1/1/9999
102052,Shaunak,Krychniak,Senior Staff,3/6/1999,1/1/9999
102052,Shaunak,Krychniak,Staff,3/6/1991,3/6/1999
102061,Niclas,Nittel,Engineer,11/16/1987,11/15/1993
102061,Niclas,Nittel,Senior Engineer,11/15/1993,1/1/9999
102062,Shigehiro,Lanteri,Senior Staff,8/8/1987,1/1/9999
102068,Zhilian,Bergere,Senior Staff,3/3/2002,1/1/9999
102068,Zhilian,Bergere,Staff,3/3/1993,3/3/2002
102079,Gay,Thiria,Engineer,1/7/1988,1/6/1997
102079,Gay,Thiria,Senior Engineer,1/6/1997,1/1/9999
102081,Gina,Bridgland,Technique Leader,1/5/1987,1/1/9999
102090,Shaleah,Zizka,Senior Staff,9/15/1995,1/1/9999
102090,Shaleah,Zizka,Staff,9/15/1987,9/15/1995
102105,Hironobu,Schwartzbauer,Senior Staff,1/22/1999,1/1/9999
102105,Hironobu,Schwartzbauer,Staff,1/22/1990,1/22/1999
102110,Mang,Christ,Senior Staff,9/27/1991,1/1/9999
102110,Mang,Christ,Staff,9/27/1985,9/27/1991
102131,Gill,Aseltine,Senior Staff,4/3/1986,1/1/9999
102144,Bernice,Karlin,Engineer,9/28/1998,1/1/9999
102147,Kristen,Miyakawa,Senior Staff,6/4/1986,1/1/9999
102153,Danel,Lukaszewicz,Senior Staff,7/1/1986,1/1/9999
102162,Nevin,Fujisaki,Engineer,1/26/1987,1/25/1993
102162,Nevin,Fujisaki,Senior Engineer,1/25/1993,1/1/9999
102180,Demos,Waschkowski,Senior Staff,7/28/1993,1/1/9999
102180,Demos,Waschkowski,Staff,7/28/1988,7/28/1993
102187,Fumiya,Eickenmeyer,Senior Staff,9/7/2001,1/1/9999
102187,Fumiya,Eickenmeyer,Staff,9/7/1992,9/7/2001
102191,Nikolaos,Menyhert,Senior Engineer,11/26/1987,1/1/9999
102217,Christ,Luks,Senior Engineer,8/15/1985,1/1/9999
102220,Deborah,Poehlman,Technique Leader,6/11/1988,1/1/9999
102221,Manibrata,Orlowska,Senior Engineer,10/12/1991,1/1/9999
102228,Udaiprakash,Nannarelli,Senior Staff,11/11/1993,1/1/9999
102228,Udaiprakash,Nannarelli,Staff,11/12/1987,11/11/1993
102232,Roded,Kaiser,Senior Staff,6/21/1993,1/1/9999
102232,Roded,Kaiser,Staff,6/21/1988,6/21/1993
102240,Shmuel,Rodite,Engineer,7/22/1988,7/22/1996
102240,Shmuel,Rodite,Senior Engineer,7/22/1996,1/1/9999
102257,Stella,Tsukune,Engineer,7/28/1986,7/28/1991
102257,Stella,Tsukune,Senior Engineer,7/28/1991,1/1/9999
102286,Cedric,Chachaty,Senior Staff,6/8/1993,1/1/9999
102286,Cedric,Chachaty,Staff,6/8/1988,6/8/1993
102292,Fumiyo,Peltason,Technique Leader,10/28/1987,1/1/9999
102298,Tianruo,Selenyi,Engineer,1/26/2000,1/1/9999
102314,Anneli,Maliniak,Engineer,4/19/1998,1/1/9999
102320,Bangqing,Sichman,Assistant Engineer,2/23/1989,2/23/1994
102320,Bangqing,Sichman,Engineer,2/23/1994,2/23/1999
102320,Bangqing,Sichman,Senior Engineer,2/23/1999,1/1/9999
102336,Frazer,Schlenzig,Engineer,6/14/1985,6/14/1991
102336,Frazer,Schlenzig,Senior Engineer,6/14/1991,1/1/9999
102371,Chenxi,Chenoweth,Senior Staff,9/29/1995,1/1/9999
102371,Chenxi,Chenoweth,Staff,9/29/1987,9/29/1995
102372,Maik,Jahnichen,Senior Engineer,1/12/1990,1/1/9999
102385,Mountaz,Sidou,Engineer,8/13/1986,8/13/1993
102385,Mountaz,Sidou,Senior Engineer,8/13/1993,1/1/9999
102395,Kitty,Massonet,Senior Staff,5/17/1998,1/1/9999
102395,Kitty,Massonet,Staff,5/17/1990,5/17/1998
102405,Kagan,Danlos,Senior Staff,12/29/2000,1/1/9999
102405,Kagan,Danlos,Staff,12/30/1995,12/29/2000
102423,Kazuhiko,Sridhar,Senior Staff,1/20/1997,1/1/9999
102423,Kazuhiko,Sridhar,Staff,1/21/1988,1/20/1997
102427,Idoia,Rindone,Senior Staff,5/5/1998,1/1/9999
102433,Arch,Peek,Senior Staff,3/31/1995,1/1/9999
102433,Arch,Peek,Staff,3/31/1987,3/31/1995
102440,Yucai,Farrow,Senior Staff,6/20/1988,1/1/9999
102450,Elgin,Krupka,Engineer,4/14/1985,4/14/1993
102450,Elgin,Krupka,Senior Engineer,4/14/1993,1/1/9999
102451,Vugranam,Harbusch,Engineer,7/19/1996,1/1/9999
102465,IEEE,Chiola,Senior Staff,12/28/1987,1/1/9999
102479,Serap,Facello,Senior Staff,6/29/1986,1/1/9999
102483,Qingxiang,Boissier,Engineer,6/7/1993,6/7/2002
102483,Qingxiang,Boissier,Senior Engineer,6/7/2002,1/1/9999
102496,Ayonca,Hiraishi,Engineer,7/6/1985,7/6/1994
102496,Ayonca,Hiraishi,Senior Engineer,7/6/1994,1/1/9999
102514,Arne,Huttel,Senior Engineer,9/12/1986,1/1/9999
102520,Tetsurou,Remmers,Engineer,4/16/1986,4/16/1995
102520,Tetsurou,Remmers,Senior Engineer,4/16/1995,1/1/9999
102548,Tokuyasu,Kragelund,Senior Engineer,4/7/1997,1/1/9999
102552,Danai,Delgrande,Senior Staff,11/6/1997,1/1/9999
102552,Danai,Delgrande,Staff,11/6/1990,11/6/1997
102597,Waiman,Vidal,Engineer,2/6/1990,2/6/1997
102597,Waiman,Vidal,Senior Engineer,2/6/1997,1/1/9999
102609,Chaoyi,Felder,Assistant Engineer,8/9/1990,8/9/1997
102609,Chaoyi,Felder,Engineer,8/9/1997,1/1/9999
102627,Bedrich,Businaro,Engineer,7/3/1993,7/3/2001
102627,Bedrich,Businaro,Senior Engineer,7/3/2001,1/1/9999
102632,Caolyn,Radwan,Engineer,8/22/1986,8/22/1993
102632,Caolyn,Radwan,Senior Engineer,8/22/1993,1/1/9999
102654,Gregory,Makinen,Technique Leader,3/20/1987,1/1/9999
102673,Stamatina,Vigier,Senior Staff,6/11/2001,1/1/9999
102673,Stamatina,Vigier,Staff,6/11/1996,6/11/2001
102677,Huei,Karcich,Engineer,11/28/1986,11/28/1995
102677,Huei,Karcich,Senior Engineer,11/28/1995,1/1/9999
102682,Oscar,Reutenauer,Senior Staff,11/11/1989,1/1/9999
102692,Saniya,Lindenbaum,Staff,7/2/1997,1/1/9999
102700,Juichirou,Hedayat,Engineer,6/13/1994,6/13/2001
102700,Juichirou,Hedayat,Senior Engineer,6/13/2001,1/1/9999
102704,Slavian,Andreotta,Senior Staff,3/29/1991,1/1/9999
102704,Slavian,Andreotta,Staff,3/29/1985,3/29/1991
102708,Xinglin,Marletta,Senior Staff,2/21/1997,1/1/9999
102708,Xinglin,Marletta,Staff,2/22/1988,2/21/1997
102710,Divier,Szmurlo,Engineer,4/11/1986,4/11/1995
102710,Divier,Szmurlo,Senior Engineer,4/11/1995,1/1/9999
102728,Make,Jiang,Staff,5/3/1997,1/1/9999
102733,Marie,Angiulli,Senior Staff,9/10/1991,1/1/9999
102733,Marie,Angiulli,Staff,9/10/1985,9/10/1991
102737,Fabrizio,Mitina,Engineer,7/25/1985,7/25/1992
102737,Fabrizio,Mitina,Senior Engineer,7/25/1992,1/1/9999
102738,Ramya,Tchuente,Senior Staff,4/13/1995,1/1/9999
102738,Ramya,Tchuente,Staff,4/13/1987,4/13/1995
102740,Guenter,Gide,Senior Engineer,1/16/1988,1/1/9999
102741,Palash,Naumovich,Senior Staff,3/30/2000,1/1/9999
102741,Palash,Naumovich,Staff,3/31/1994,3/30/2000
102742,Raimond,Kruskal,Engineer,11/15/1994,1/1/9999
102754,Mohua,Huhdanpaa,Senior Engineer,10/1/1989,1/1/9999
102757,Arno,Pardalos,Senior Engineer,4/25/1985,1/1/9999
102762,Josyula,Setlzner,Senior Staff,2/26/1988,1/1/9999
102765,Arnould,Lipner,Senior Staff,5/13/1991,1/1/9999
102765,Arnould,Lipner,Staff,5/13/1985,5/13/1991
102766,Guiseppe,Dechter,Assistant Engineer,5/7/1987,5/6/1996
102766,Guiseppe,Dechter,Engineer,5/6/1996,1/1/9999
102777,Fumiko,Stille,Engineer,12/17/1988,12/17/1994
102777,Fumiko,Stille,Senior Engineer,12/17/1994,1/1/9999
102778,Bernice,Mitchem,Senior Engineer,8/16/1988,1/1/9999
102793,Joydip,Benzaken,Engineer,11/9/1988,11/9/1994
102793,Joydip,Benzaken,Senior Engineer,11/9/1994,1/1/9999
102801,Chanjung,Chachaty,Engineer,4/10/1988,4/10/1994
102801,Chanjung,Chachaty,Senior Engineer,4/10/1994,1/1/9999
102803,Giri,Servi,Engineer,12/21/1988,12/22/1995
102803,Giri,Servi,Senior Engineer,12/22/1995,1/1/9999
102808,Qingxiang,Eiter,Engineer,6/11/1985,6/11/1994
102808,Qingxiang,Eiter,Senior Engineer,6/11/1994,1/1/9999
102810,Jiafu,Birsak,Senior Staff,8/16/1995,1/1/9999
102810,Jiafu,Birsak,Staff,8/15/1988,8/16/1995
102815,Shunichi,Scallan,Senior Staff,8/11/1999,1/1/9999
102815,Shunichi,Scallan,Staff,8/11/1990,8/11/1999
102851,Xudong,Bruckman,Technique Leader,6/12/1985,1/1/9999
102856,Bogdan,Peron,Senior Staff,10/21/1994,1/1/9999
102856,Bogdan,Peron,Staff,10/21/1988,10/21/1994
102870,Marsal,Alpay,Senior Staff,4/23/1985,1/1/9999
102901,Constantino,Huttel,Engineer,2/9/1995,2/9/2000
102901,Constantino,Huttel,Senior Engineer,2/9/2000,1/1/9999
102912,Teiji,Khalil,Senior Staff,11/18/1993,1/1/9999
102912,Teiji,Khalil,Staff,11/18/1986,11/18/1993
102941,Luigi,Erni,Senior Engineer,1/6/1993,1/1/9999
102942,Gretta,Vilarrasa,Senior Staff,2/27/1993,1/1/9999
102942,Gretta,Vilarrasa,Staff,2/27/1985,2/27/1993
102953,Woody,Terlouw,Senior Engineer,9/20/1989,1/1/9999
102962,Chirstian,Kobara,Senior Staff,9/24/1985,1/1/9999
102996,Patricio,Riesenhuber,Engineer,1/10/1987,1/9/1993
102996,Patricio,Riesenhuber,Senior Engineer,1/9/1993,1/1/9999
103005,Rafael,Keustermans,Engineer,2/9/1986,2/9/1994
103005,Rafael,Keustermans,Senior Engineer,2/9/1994,1/1/9999
103019,Jungsoon,Wissmann,Staff,3/9/1998,1/1/9999
103024,Patricio,Jakobus,Engineer,10/22/1992,10/22/1998
103024,Patricio,Jakobus,Senior Engineer,10/22/1998,1/1/9999
103040,Kamran,Lorie,Engineer,2/20/1989,2/20/1995
103040,Kamran,Lorie,Senior Engineer,2/20/1995,1/1/9999
103042,Berthier,Masand,Senior Staff,7/13/1996,1/1/9999
103042,Berthier,Masand,Staff,7/14/1987,7/13/1996
103058,Yongqiao,Zumaque,Engineer,2/9/1990,2/9/1996
103058,Yongqiao,Zumaque,Senior Engineer,2/9/1996,1/1/9999
103059,Hatem,Mondadori,Technique Leader,3/8/1988,1/1/9999
103061,Karlis,Delaune,Engineer,3/6/1993,3/6/2000
103061,Karlis,Delaune,Senior Engineer,3/6/2000,1/1/9999
103076,Thodoros,Stiles,Senior Staff,3/23/1996,1/1/9999
103076,Thodoros,Stiles,Staff,3/24/1987,3/23/1996
103092,Mabry,Falby,Engineer,10/1/1986,10/1/1991
103092,Mabry,Falby,Senior Engineer,10/1/1991,1/1/9999
103107,Bikash,Georgatos,Senior Staff,4/3/1993,1/1/9999
103107,Bikash,Georgatos,Staff,4/3/1988,4/3/1993
103128,Alenka,Crabtree,Engineer,11/26/1989,11/26/1997
103128,Alenka,Crabtree,Senior Engineer,11/26/1997,1/1/9999
103129,Jianhua,Munoz,Engineer,3/9/1986,3/9/1994
103129,Jianhua,Munoz,Senior Engineer,3/9/1994,1/1/9999
103130,Kiyokazu,Sundgren,Engineer,2/21/1993,2/21/2001
103130,Kiyokazu,Sundgren,Senior Engineer,2/21/2001,1/1/9999
103156,Yahiko,Schiper,Senior Staff,7/1/1991,1/1/9999
103156,Yahiko,Schiper,Staff,7/1/1985,7/1/1991
103159,Greger,Chandrasekhar,Engineer,5/29/1991,5/28/1998
103159,Greger,Chandrasekhar,Senior Engineer,5/28/1998,1/1/9999
103164,Valeska,Chiola,Senior Staff,3/1/2002,1/1/9999
103164,Valeska,Chiola,Staff,3/1/1994,3/1/2002
103176,Khue,Pelc,Senior Staff,8/2/1996,1/1/9999
103176,Khue,Pelc,Staff,8/3/1987,8/2/1996
103178,Tetsurou,Argence,Engineer,4/21/1985,4/21/1994
103178,Tetsurou,Argence,Senior Engineer,4/21/1994,1/1/9999
103184,Yongdong,Garnham,Engineer,7/21/1997,1/1/9999
103198,Alois,Yeung,Engineer,9/2/1987,9/2/1995
103198,Alois,Yeung,Senior Engineer,9/2/1995,1/1/9999
103219,Guenter,Muchinsky,Engineer,10/22/1988,10/22/1993
103219,Guenter,Muchinsky,Senior Engineer,10/22/1993,1/1/9999
103223,Jongsuk,Papadias,Senior Engineer,10/10/1996,1/1/9999
103224,Zeljko,Seghrouchni,Senior Engineer,3/27/1987,1/1/9999
103235,Kazuhito,Acton,Senior Engineer,2/1/1994,1/1/9999
103245,Sajjad,Cusworth,Senior Engineer,1/28/1987,1/1/9999
103252,Domenick,Baca,Technique Leader,7/20/1996,1/1/9999
103258,Nathan,Baaz,Senior Staff,8/18/1993,1/1/9999
103258,Nathan,Baaz,Staff,8/18/1985,8/18/1993
103259,Remzi,Brattka,Senior Staff,6/16/1998,1/1/9999
103270,Moty,Openshaw,Senior Staff,6/20/1991,1/1/9999
103271,Trygve,Bamford,Engineer,9/26/1993,9/26/2001
103271,Trygve,Bamford,Senior Engineer,9/26/2001,1/1/9999
103284,Guiseppe,Hofting,Engineer,5/12/1992,5/13/1999
103284,Guiseppe,Hofting,Senior Engineer,5/13/1999,1/1/9999
103294,Basant,Lodder,Senior Staff,8/24/1987,1/1/9999
103296,Remzi,Siochi,Senior Staff,8/17/1992,1/1/9999
103296,Remzi,Siochi,Staff,8/18/1986,8/17/1992
103332,Zhanqiu,Guerreiro,Engineer,2/22/1985,2/22/1994
103332,Zhanqiu,Guerreiro,Senior Engineer,2/22/1994,1/1/9999
103338,Munir,Wilharm,Senior Staff,2/24/1993,1/1/9999
103338,Munir,Wilharm,Staff,2/24/1985,2/24/1993
103344,Sanjeeva,Whittlesey,Engineer,11/11/1988,11/11/1996
103344,Sanjeeva,Whittlesey,Senior Engineer,11/11/1996,1/1/9999
103349,Chiranjit,Saoudi,Engineer,11/23/1992,11/23/2000
103349,Chiranjit,Saoudi,Senior Engineer,11/23/2000,1/1/9999
103350,George,Kranzdorf,Engineer,5/11/1997,1/1/9999
103351,Stein,Junot,Engineer,2/20/1996,2/19/2001
103351,Stein,Junot,Senior Engineer,2/19/2001,1/1/9999
103358,Takushi,Legleitner,Senior Staff,1/28/1992,1/1/9999
103358,Takushi,Legleitner,Staff,1/28/1987,1/28/1992
103367,Supot,Isaac,Engineer,7/16/1988,7/16/1996
103367,Supot,Isaac,Senior Engineer,7/16/1996,1/1/9999
103375,Khue,Fioravanti,Senior Staff,7/4/1994,1/1/9999
103375,Khue,Fioravanti,Staff,7/4/1985,7/4/1994
103398,Nikolaos,Schreiter,Staff,8/13/1999,1/1/9999
103415,Heng,Cronin,Senior Staff,12/22/1998,1/1/9999
103415,Heng,Cronin,Staff,12/22/1990,12/22/1998
103419,Marjo,Pettit,Engineer,7/5/1986,7/5/1994
103419,Marjo,Pettit,Senior Engineer,7/5/1994,1/1/9999
103424,Geoffrey,Knightly,Assistant Engineer,7/6/1998,1/1/9999
103426,Shigeaki,Koshiba,Engineer,12/29/1988,12/29/1993
103426,Shigeaki,Koshiba,Senior Engineer,12/29/1993,1/1/9999
103427,Licheng,Dalton,Engineer,1/31/1989,2/1/1996
103427,Licheng,Dalton,Senior Engineer,2/1/1996,1/1/9999
103435,Sverrir,Ghazalie,Engineer,8/31/1988,8/31/1997
103435,Sverrir,Ghazalie,Senior Engineer,8/31/1997,1/1/9999
103460,Rajmohan,Duclos,Senior Staff,10/25/1987,1/1/9999
103467,Kwangyoen,Glinert,Senior Staff,1/11/1998,1/1/9999
103467,Kwangyoen,Glinert,Staff,1/11/1989,1/11/1998
103484,Niclas,Velardi,Engineer,2/10/1985,2/10/1991
103484,Niclas,Velardi,Senior Engineer,2/10/1991,1/1/9999
103488,Moheb,Conde,Engineer,6/13/1988,6/13/1997
103488,Moheb,Conde,Senior Engineer,6/13/1997,1/1/9999
103490,Claudi,Kropatsch,Senior Engineer,2/2/1985,1/1/9999
103523,Visit,Servieres,Senior Engineer,1/15/1994,1/1/9999
103529,Duke,Uhrik,Senior Engineer,5/8/1988,1/1/9999
103537,Adit,Grospietsch,Senior Staff,11/18/1992,1/1/9999
103538,Mountaz,Ushiama,Senior Engineer,6/11/1987,1/1/9999
103558,Adel,Unni,Senior Staff,12/24/1992,1/1/9999
103558,Adel,Unni,Staff,12/25/1987,12/24/1992
103563,Fan,Msuda,Engineer,4/10/1985,4/10/1990
103563,Fan,Msuda,Senior Engineer,4/10/1990,1/1/9999
103566,Fumino,Pouyioutas,Engineer,4/14/1988,4/14/1993
103566,Fumino,Pouyioutas,Senior Engineer,4/14/1993,1/1/9999
103567,Eberhardt,Perl,Engineer,7/3/1988,7/3/1994
103567,Eberhardt,Perl,Senior Engineer,7/3/1994,1/1/9999
103568,Peternela,Camarinopoulos,Technique Leader,12/12/1990,1/1/9999
103569,Rayond,Rodier,Engineer,2/26/1986,2/26/1993
103569,Rayond,Rodier,Senior Engineer,2/26/1993,1/1/9999
103573,Mani,Erman,Senior Staff,12/3/1994,1/1/9999
103573,Mani,Erman,Staff,12/3/1987,12/3/1994
103575,Ugo,Verhaegen,Senior Staff,2/25/1999,1/1/9999
103575,Ugo,Verhaegen,Staff,2/25/1994,2/25/1999
103576,Suzette,Picci,Staff,4/22/1998,1/1/9999
103583,Arno,Gulla,Senior Staff,11/12/2000,1/1/9999
103583,Arno,Gulla,Staff,11/13/1995,11/12/2000
103585,Juichirou,Dusink,Senior Staff,8/15/1991,1/1/9999
103586,Kwee,Veevers,Assistant Engineer,4/7/1987,4/7/1995
103586,Kwee,Veevers,Engineer,4/7/1995,1/1/9999
103589,Ipke,Fujisaki,Engineer,8/3/1992,8/3/1998
103589,Ipke,Fujisaki,Senior Engineer,8/3/1998,1/1/9999
103591,Moni,Vakili,Senior Staff,3/11/1991,1/1/9999
103591,Moni,Vakili,Staff,3/11/1985,3/11/1991
103595,Zhensheng,Hutton,Senior Staff,9/22/1995,1/1/9999
103595,Zhensheng,Hutton,Staff,9/22/1986,9/22/1995
103605,Alagu,Fraisse,Technique Leader,2/18/1997,1/1/9999
103607,Yannis,Roccetti,Senior Staff,4/20/1987,1/1/9999
103621,Yuqun,Vidya,Staff,10/6/1997,1/1/9999
103640,Valeska,Yetto,Senior Staff,8/31/2000,1/1/9999
103640,Valeska,Yetto,Staff,8/31/1993,8/31/2000
103641,Aamer,Loncour,Engineer,3/19/1996,1/1/9999
103644,Harjit,Erdi,Technique Leader,3/23/1988,1/1/9999
103659,Remco,Feldmann,Assistant Engineer,4/16/1991,4/15/1996
103659,Remco,Feldmann,Engineer,4/15/1996,4/15/2001
103659,Remco,Feldmann,Senior Engineer,4/15/2001,1/1/9999
103661,Chinya,Rettelbach,Engineer,11/27/1985,11/27/1993
103661,Chinya,Rettelbach,Senior Engineer,11/27/1993,1/1/9999
103663,Bezalel,Edelhoff,Assistant Engineer,11/29/1988,11/29/1996
103663,Bezalel,Edelhoff,Engineer,11/29/1996,1/1/9999
103665,Tomoyuki,Monarch,Engineer,1/13/1989,1/13/1994
103665,Tomoyuki,Monarch,Senior Engineer,1/13/1994,1/1/9999
103668,Remmert,Mitchem,Engineer,6/14/1985,6/14/1990
103668,Remmert,Mitchem,Senior Engineer,6/14/1990,1/1/9999
103670,Bernice,Siepmann,Senior Staff,2/2/2001,1/1/9999
103670,Bernice,Siepmann,Staff,2/3/1992,2/2/2001
103681,Toney,Rosiles,Senior Staff,5/30/1994,1/1/9999
103681,Toney,Rosiles,Staff,5/30/1987,5/30/1994
103682,Samphel,Shrader,Senior Engineer,5/1/1987,1/1/9999
103717,Kwangjo,Zhang,Staff,4/17/1999,1/1/9999
103723,Noritoshi,Geffroy,Senior Staff,11/28/1999,1/1/9999
103723,Noritoshi,Geffroy,Staff,11/28/1990,11/28/1999
103731,Leandro,Cyre,Engineer,3/5/1996,1/1/9999
103733,Paraskevi,Ravishankar,Engineer,8/27/1986,8/27/1991
103733,Paraskevi,Ravishankar,Senior Engineer,8/27/1991,1/1/9999
103753,Faiza,Fortenbacher,Senior Staff,7/27/2000,1/1/9999
103753,Faiza,Fortenbacher,Staff,7/28/1995,7/27/2000
103754,Ebru,Nicolson,Engineer,9/8/1987,9/7/1992
103754,Ebru,Nicolson,Senior Engineer,9/7/1992,1/1/9999
103759,Rance,Rajaraman,Staff,10/21/1997,1/1/9999
103766,Ronghao,Monkewich,Engineer,12/15/1995,1/1/9999
103772,Vidar,Pollacia,Senior Staff,10/25/1994,1/1/9999
103772,Vidar,Pollacia,Staff,10/25/1987,10/25/1994
103776,Franziska,Ashish,Senior Staff,6/30/1993,1/1/9999
103776,Franziska,Ashish,Staff,6/30/1988,6/30/1993
103782,Sigeru,Baez,Senior Staff,7/1/1991,1/1/9999
103782,Sigeru,Baez,Staff,7/1/1986,7/1/1991
103835,Masasuke,Cyre,Engineer,5/23/1988,5/23/1993
103835,Masasuke,Cyre,Senior Engineer,5/23/1993,1/1/9999
